

*******************************************************************************
Ephemeris / WWW_USER Fri Nov 12 15:24:42 2021 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Epimetheus (611)                {source: sat415_merged_DE437}
Center body name: Saturn (699)                    {source: sat415_merged_DE437}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2010-Jan-01 00:00:00.0000 TDB
Stop  time      : A.D. 2020-Jan-01 00:00:00.0000 TDB
Step-size       : 1440 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {W-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {W-lon(deg),Dxy(km),Dz(km)}
Center radii    : 60268.0 x 60268.0 x 54364.0 km  {Equator, meridian, pole}    
Output units    : KM-S
Output type     : GEOMETRIC cartesian states
Output format   : 2 (position and velocity)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
**************************************************************************************************************************************************************************************************
$$SOE
2455197.500000000, A.D. 2010-Jan-01 00:00:00.0000,  2.689964511016299E+04, -1.328990486046378E+05,  6.626183053137272E+04,  1.556640766979581E+01,  2.000870178812415E+00, -2.631604532061102E+00,
2455198.500000000, A.D. 2010-Jan-02 00:00:00.0000,  2.448506851746008E+04,  1.316156871079037E+05, -7.081812535693491E+04, -1.555788592538456E+01,  3.068981217196884E+00, -3.762559779310726E-03,
2455199.500000000, A.D. 2010-Jan-03 00:00:00.0000, -8.311253232117881E+04, -1.094173993325047E+05,  6.524579780860146E+04,  1.322163844943032E+01, -8.137725624585014E+00,  2.873804347473290E+00,
2455200.500000000, A.D. 2010-Jan-04 00:00:00.0000,  1.201100098065607E+05,  7.472311955231876E+04, -5.097993873155340E+04, -9.418693594547943E+00,  1.181785504128356E+01, -5.170171410893839E+00,
2455201.500000000, A.D. 2010-Jan-05 00:00:00.0000, -1.478582902776364E+05, -2.625926565112698E+04,  2.863680164417766E+04,  3.777498343978585E+00, -1.369042080262240E+01,  6.713541483761388E+00,
2455202.500000000, A.D. 2010-Jan-06 00:00:00.0000,  1.480208437582599E+05, -2.418647521904847E+04, -2.477031473001465E+03,  2.143410867468980E+00,  1.399657033776237E+01, -7.470799914021567E+00,
2455203.500000000, A.D. 2010-Jan-07 00:00:00.0000, -1.332016789333145E+05,  7.101603401348651E+04, -2.330756077788112E+04, -7.631340449962377E+00, -1.187567757507573E+01,  6.924641545552957E+00,
2455204.500000000, A.D. 2010-Jan-08 00:00:00.0000,  9.205017874313348E+04, -1.094056468197981E+05,  4.735979474765089E+04,  1.246230731928478E+01,  8.262177262286833E+00, -5.537845010193227E+00,
2455205.500000000, A.D. 2010-Jan-09 00:00:00.0000, -4.691576028878632E+04,  1.300625786984696E+05, -6.260437889950968E+04, -1.502757060483520E+01, -3.615614193277379E+00,  3.387061642570102E+00,
2455206.500000000, A.D. 2010-Jan-10 00:00:00.0000, -1.548822210897928E+04, -1.334574524938338E+05,  7.062857514543238E+04,  1.569108718534473E+01, -1.951891655121930E+00, -5.688234149967532E-01,
