

*******************************************************************************
Ephemeris / WWW_USER Fri Nov 19 13:39:11 2021 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Epimetheus (611)                {source: sat415_merged_DE437}
Center body name: Saturn (699)                    {source: sat415_merged_DE437}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2010-Jan-01 00:00:00.0000 TDB
Stop  time      : A.D. 2010-Jan-02 00:00:00.0000 TDB
Step-size       : 1 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {W-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {W-lon(deg),Dxy(km),Dz(km)}
Center radii    : 60268.0 x 60268.0 x 54364.0 km  {Equator, meridian, pole}    
Output units    : KM-S
Output type     : GEOMETRIC cartesian states
Output format   : 2 (position and velocity)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
**************************************************************************************************************************************************************************************************
$$SOE
2455197.500000000, A.D. 2010-Jan-01 00:00:00.0000,  2.689964511016299E+04, -1.328990486046378E+05,  6.626183053137272E+04,  1.556640766979581E+01,  2.000870178812415E+00, -2.631604532061102E+00,
2455197.500694444, A.D. 2010-Jan-01 00:01:00.0000,  2.783308692663163E+04, -1.327763468157395E+05,  6.610261398438724E+04,  1.554821560867707E+01,  2.089178369393589E+00, -2.675597308383980E+00,
2455197.501388889, A.D. 2010-Jan-01 00:02:00.0000,  2.876541851603281E+04, -1.326483485659655E+05,  6.594076083952622E+04,  1.552940018985649E+01,  2.177418277240810E+00, -2.719490826824564E+00,
2455197.502083333, A.D. 2010-Jan-01 00:03:00.0000,  2.969660249318158E+04, -1.325150580598127E+05,  6.577627710642919E+04,  1.550996196026427E+01,  2.265586318003455E+00, -2.763283282318899E+00,
2455197.502777778, A.D. 2010-Jan-01 00:04:00.0000,  3.062660150649279E+04, -1.323764797168228E+05,  6.560916890295073E+04,  1.548990149295740E+01,  2.353678907903861E+00, -2.806972872775803E+00,
2455197.503472222, A.D. 2010-Jan-01 00:05:00.0000,  3.155537823954858E+04, -1.322326181715431E+05,  6.543944245497967E+04,  1.546921938712824E+01,  2.441692463892657E+00, -2.850557799158387E+00,
2455197.504166667, A.D. 2010-Jan-01 00:06:00.0000,  3.248289541266700E+04, -1.320834782734779E+05,  6.526710409625337E+04,  1.544791626811184E+01,  2.529623403804524E+00, -2.894036265565685E+00,
2455197.504861111, A.D. 2010-Jan-01 00:07:00.0000,  3.340911578447052E+04, -1.319290650870314E+05,  6.509216026816716E+04,  1.542599278739218E+01,  2.617468146514416E+00, -2.937406479314380E+00,
2455197.505555556, A.D. 2010-Jan-01 00:08:00.0000,  3.433400215345532E+04, -1.317693838914397E+05,  6.491461751957874E+04,  1.540344962260700E+01,  2.705223112094171E+00, -2.980666651020626E+00,
2455197.506250000, A.D. 2010-Jan-01 00:09:00.0000,  3.525751735956052E+04, -1.316044401806952E+05,  6.473448250660788E+04,  1.538028747755162E+01,  2.792884721969537E+00, -3.023814994681952E+00,
