

*******************************************************************************
Ephemeris / WWW_USER Fri Nov 12 15:27:58 2021 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Janus (610)                     {source: sat415_merged_DE437}
Center body name: Saturn (699)                    {source: sat415_merged_DE437}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2010-Jan-01 00:00:00.0000 TDB
Stop  time      : A.D. 2020-Jan-01 00:00:00.0000 TDB
Step-size       : 1440 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {W-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {W-lon(deg),Dxy(km),Dz(km)}
Center radii    : 60268.0 x 60268.0 x 54364.0 km  {Equator, meridian, pole}    
Output units    : KM-S
Output type     : GEOMETRIC cartesian states
Output format   : 2 (position and velocity)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
**************************************************************************************************************************************************************************************************
$$SOE
2455197.500000000, A.D. 2010-Jan-01 00:00:00.0000,  1.276142864525611E+04, -1.336121821278788E+05,  6.828812883706372E+04,  1.583455042933728E+01,  5.179084875347364E-01, -1.813465145321707E+00,
2455198.500000000, A.D. 2010-Jan-02 00:00:00.0000,  4.534245570117976E+04,  1.272672205060605E+05, -7.064258513367271E+04, -1.498280535720508E+01,  4.753292876881105E+00, -1.014258536418148E+00,
2455199.500000000, A.D. 2010-Jan-03 00:00:00.0000, -9.454475777880015E+04, -9.979994541869086E+04,  6.112762384566375E+04,  1.235642647559743E+01, -9.405278875899961E+00,  3.691962712572824E+00,
2455200.500000000, A.D. 2010-Jan-04 00:00:00.0000,  1.315429940638107E+05,  6.204360412670219E+04, -4.506339626450102E+04, -7.770789071047334E+00,  1.246972003087587E+01, -5.733232003390685E+00,
2455201.500000000, A.D. 2010-Jan-05 00:00:00.0000, -1.492730515990678E+05, -1.046186239881457E+04,  1.992885592586969E+04,  2.033495182470602E+00, -1.407616881241124E+01,  7.126537986010464E+00,
2455202.500000000, A.D. 2010-Jan-06 00:00:00.0000,  1.470004599549109E+05, -3.651127558969497E+04,  4.749478978461251E+03,  3.706222801589468E+00,  1.351816954960339E+01, -7.392614647661737E+00,
2455203.500000000, A.D. 2010-Jan-07 00:00:00.0000, -1.217411007818800E+05,  8.470702441974515E+04, -3.228792277729159E+04, -9.270805920978328E+00, -1.098411053658137E+01,  6.612352311864989E+00,
2455204.500000000, A.D. 2010-Jan-08 00:00:00.0000,  8.232670139360389E+04, -1.151195407790597E+05,  5.193669667641352E+04,  1.331805311059862E+01,  7.158920780988287E+00, -5.012376281908034E+00,
2455205.500000000, A.D. 2010-Jan-09 00:00:00.0000, -2.808822509836405E+04,  1.339623761645942E+05, -6.698858058575864E+04, -1.542223511265180E+01, -2.013332564841375E+00,  2.536855954769971E+00,
2455206.500000000, A.D. 2010-Jan-10 00:00:00.0000, -2.787695597948156E+04, -1.300103410327643E+05,  7.033488300389785E+04,  1.562893932797186E+01, -3.251329738365171E+00,  1.841820268172414E-01,
