

*******************************************************************************
Ephemeris / WWW_USER Fri Nov 19 13:38:43 2021 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Janus (610)                     {source: sat415_merged_DE437}
Center body name: Saturn (699)                    {source: sat415_merged_DE437}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2010-Jan-01 00:00:00.0000 TDB
Stop  time      : A.D. 2010-Jan-02 00:00:00.0000 TDB
Step-size       : 1 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {W-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {W-lon(deg),Dxy(km),Dz(km)}
Center radii    : 60268.0 x 60268.0 x 54364.0 km  {Equator, meridian, pole}    
Output units    : KM-S
Output type     : GEOMETRIC cartesian states
Output format   : 2 (position and velocity)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
**************************************************************************************************************************************************************************************************
$$SOE
2455197.500000000, A.D. 2010-Jan-01 00:00:00.0000,  1.276142864525611E+04, -1.336121821278788E+05,  6.828812883706372E+04,  1.583455042933728E+01,  5.179084875347364E-01, -1.813465145321707E+00,
2455197.500694444, A.D. 2010-Jan-01 00:01:00.0000,  1.371123919206764E+04, -1.335784261194787E+05,  6.817795113400930E+04,  1.582569533165570E+01,  6.072869527067131E-01, -1.859112121549548E+00,
2455197.501388889, A.D. 2010-Jan-01 00:02:00.0000,  1.466049939373896E+04, -1.335393083107569E+05,  6.806503694117823E+04,  1.581620566906940E+01,  6.966345578123898E-01, -1.904681162881720E+00,
2455197.502083333, A.D. 2010-Jan-01 00:03:00.0000,  1.560917119063506E+04, -1.334948306625736E+05,  6.794939099012493E+04,  1.580608192132433E+01,  7.859476613848249E-01, -1.950170421271780E+00,
2455197.502777778, A.D. 2010-Jan-01 00:04:00.0000,  1.655721655270369E+04, -1.334449953542024E+05,  6.783101812317010E+04,  1.579532459475408E+01,  8.752226244638237E-01, -1.995578052570307E+00,
2455197.503472222, A.D. 2010-Jan-01 00:05:00.0000,  1.750459748106908E+04, -1.333898047831755E+05,  6.770992329316447E+04,  1.578393422224222E+01,  9.644558107579888E-01, -2.040902216605548E+00,
2455197.504166667, A.D. 2010-Jan-01 00:06:00.0000,  1.845127600962417E+04, -1.333292615651183E+05,  6.758611156324773E+04,  1.577191136318327E+01,  1.053643586806446E+00, -2.086141077263762E+00,
2455197.504861111, A.D. 2010-Jan-01 00:07:00.0000,  1.939721420661978E+04, -1.332633685335751E+05,  6.745958810660269E+04,  1.575925660344245E+01,  1.142782322140220E+00, -2.131292802569269E+00,
2455197.505555556, A.D. 2010-Jan-01 00:08:00.0000,  2.034237417625192E+04, -1.331921287398243E+05,  6.733035820620449E+04,  1.574597055531411E+01,  1.231868389443310E+00, -2.176355564764199E+00,
2455197.506250000, A.D. 2010-Jan-01 00:09:00.0000,  2.128671806024580E+04, -1.331155454526849E+05,  6.719842725456531E+04,  1.573205385747892E+01,  1.320898164713372E+00, -2.221327540387930E+00,
